
"DU 730   ,Número de serie 1328753"
"Versión del instrumento:,1.05  "
Escan. longitud de onda
"Fecha:,08-DIC-2001 21:24:12"
"ID del usuario:,"
"ID de la muestra:,"
"Integral:,476.96"

"nm,Abs,Mín/Máx"
"190.0, 0.522"
"191.0, 0.578"
"192.0, 0.580"
"193.0, 0.640,Pico"
"194.0, 0.590"
"195.0, 0.450"
"196.0, 0.339"
"197.0, 0.163"
"198.0, 0.144"
"199.0, 0.000"
"200.0, 0.000,Valle"
"201.0, 0.000"
"202.0, 0.000"
"203.0, 0.000"
"204.0, 0.000"
"205.0, 0.000"
"206.0, 0.000"
"207.0, 0.000"
"208.0, 0.000"
"209.0, 0.000"
"210.0, 0.000"
"211.0, 0.000"
"212.0, 0.000"
"213.0, 0.000"
"214.0, 0.000"
"215.0, 0.000"
"216.0, 0.000"
"217.0, 0.000"
"218.0, 0.000"
"219.0, 0.000"
"220.0, 0.000"
"221.0, 0.000"
"222.0, 0.000"
"223.0, 0.000"
"224.0, 0.000"
"225.0, 0.000"
"226.0, 0.000"
"227.0, 0.000"
"228.0, 0.000"
"229.0, 0.000"
"230.0, 0.000"
"231.0, 0.000"
"232.0, 0.000"
"233.0, 0.000"
"234.0, 0.000"
"235.0, 0.000"
"236.0, 0.000"
"237.0, 0.000"
"238.0, 0.000"
"239.0, 0.000"
"240.0, 0.000"
"241.0, 0.000"
"242.0, 0.000"
"243.0, 0.000"
"244.0, 0.000"
"245.0, 0.000"
"246.0, 0.000"
"247.0, 0.000"
"248.0, 0.000"
"249.0, 0.000"
"250.0, 0.000"
"251.0, 0.000"
"252.0, 0.007"
"253.0, 0.065"
"254.0, 0.104"
"255.0, 0.178"
"256.0, 0.197"
"257.0, 0.255"
"258.0, 0.309"
"259.0, 0.335"
"260.0, 0.364"
"261.0, 0.382"
"262.0, 0.453"
"263.0, 0.463"
"264.0, 0.461"
"265.0, 0.499"
"266.0, 0.514"
"267.0, 0.554"
"268.0, 0.561,Valle"
"269.0, 0.602,Pico"
"270.0, 0.561"
"271.0, 0.617"
"272.0, 0.595,Pico"
"273.0, 0.613,Pico"
"274.0, 0.687"
"275.0, 0.556,Valle"
"276.0, 0.661"
"277.0, 0.701,Pico"
"278.0, 0.643"
"279.0, 0.759"
"280.0, 0.746"
"281.0, 0.836"
"282.0, 0.765"
"283.0, 0.888"
"284.0, 1.036"
"285.0, 1.246"
"286.0, 1.629"
"287.0, 1.772"
"288.0, 1.996"
"289.0, 2.030"
"290.0, 2.152,Pico"
"291.0, 2.149"
"292.0, 2.001,Valle"
"293.0, 2.127"
"294.0, 2.457"
"295.0, 2.656"
"296.0, 2.922"
"297.0, 3.076"
"298.0, 3.117"
"299.0, 3.134"
"300.0, 3.290"
"301.0, 3.240,Pico"
"302.0, 3.242"
"303.0, 3.316"
"304.0, 3.370,Pico"
"305.0, 3.245"
"306.0, 3.213,Pico"
"307.0, 3.280"
"308.0, 3.212"
"309.0, 3.254,Valle"
"310.0, 3.236"
"311.0, 3.296,Pico"
"312.0, 3.286"
"313.0, 3.227"
"314.0, 3.257"
"315.0, 3.195,Valle"
"316.0, 3.241"
"317.0, 3.297,Pico"
"318.0, 3.204"
"319.0, 3.155,Valle"
"320.0, 3.235"
"321.0, 3.170,Pico"
"322.0, 3.184"
"323.0, 3.259"
"324.0, 3.322,Pico"
"325.0, 3.241,Pico"
"326.0, 3.211,Valle"
"327.0, 3.243,Valle"
"328.0, 3.199"
"329.0, 3.300,Pico"
"330.0, 3.229"
"331.0, 3.211,Valle"
"332.0, 3.225"
"333.0, 3.264,Pico"
"334.0, 3.223"
"335.0, 3.129,Valle"
"336.0, 3.269,Pico"
"337.0, 3.155"
"338.0, 3.114"
"339.0, 3.052"
"340.0, 3.031,Valle"
"341.0, 3.070,Pico"
"342.0, 3.056"
"343.0, 2.969"
"344.0, 2.973,Valle"
"345.0, 2.981"
"346.0, 2.976,Pico"
"347.0, 2.980"
"348.0, 2.943"
"349.0, 2.965,Pico"
"350.0, 2.961"
"351.0, 2.901,Valle"
"352.0, 2.921"
"353.0, 2.973,Pico"
"354.0, 2.896"
"355.0, 2.892"
"356.0, 2.804"
"357.0, 2.782"
"358.0, 2.781"
"359.0, 2.766,Valle"
"360.0, 2.697"
"361.0, 2.809,Pico"
"362.0, 2.723"
"363.0, 2.639"
"364.0, 2.553"
"365.0, 2.333"
"366.0, 2.187"
"367.0, 2.227,Pico"
"368.0, 2.214"
"369.0, 2.117"
"370.0, 1.967"
"371.0, 1.897"
"372.0, 1.814"
"373.0, 1.765"
"374.0, 1.660"
"375.0, 1.636"
"376.0, 1.583"
"377.0, 1.527"
"378.0, 1.498"
"379.0, 1.448"
"380.0, 1.435"
"381.0, 1.391"
"382.0, 1.361"
"383.0, 1.338"
"384.0, 1.323"
"385.0, 1.288"
"386.0, 1.273"
"387.0, 1.244"
"388.0, 1.237"
"389.0, 1.232"
"390.0, 1.203"
"391.0, 1.190"
"392.0, 1.190"
"393.0, 1.189"
"394.0, 1.177"
"395.0, 1.160"
"396.0, 1.160"
